item	Genome_ID	Species	RefSeq	Assembly_ID	Assembly_ID_norm	Strain	Genome_in_HOMD	HOMD_ID	G_ID
H_haemolyticus_str_M26157_id_GCA_003494105_1	H_haemolyticus_str_M26157_id_GCA_003494105_1	H_haemolyticus	Yes	GCA_003494105_1	GCA_003494105.1	M26157	no	NA	G_0045
H_haemolyticus_str_M11818_id_GCA_003494635_1	H_haemolyticus_str_M11818_id_GCA_003494635_1	H_haemolyticus	Yes	GCA_003494635_1	GCA_003494635.1	M11818	no	NA	G_0046
H_haemolyticus_str_M19080_id_GCA_003494285_1	H_haemolyticus_str_M19080_id_GCA_003494285_1	H_haemolyticus	Yes	GCA_003494285_1	GCA_003494285.1	M19080	no	NA	G_0047
H_haemolyticus_str_C2001002324_id_GCA_003252655_1	H_haemolyticus_str_C2001002324_id_GCA_003252655_1	H_haemolyticus	Yes	GCA_003252655_1	GCA_003252655.1	C2001002324	no	NA	G_0048
H_haemolyticus_str_M26164_id_GCA_003494525_1	H_haemolyticus_str_M26164_id_GCA_003494525_1	H_haemolyticus	Yes	GCA_003494525_1	GCA_003494525.1	M26164	no	NA	G_0049
H_haemolyticus_str_M25342_id_GCA_003493465_1	H_haemolyticus_str_M25342_id_GCA_003493465_1	H_haemolyticus	Yes	GCA_003493465_1	GCA_003493465.1	M25342	no	NA	G_0050
H_haemolyticus_str_M28908_id_GCA_003494545_1	H_haemolyticus_str_M28908_id_GCA_003494545_1	H_haemolyticus	Yes	GCA_003494545_1	GCA_003494545.1	M28908	no	NA	G_0051
H_haemolyticus_str_M19099_id_GCA_003490935_1	H_haemolyticus_str_M19099_id_GCA_003490935_1	H_haemolyticus	Yes	GCA_003490935_1	GCA_003490935.1	M19099	no	NA	G_0052
H_haemolyticus_str_M26156_id_GCA_003490655_1	H_haemolyticus_str_M26156_id_GCA_003490655_1	H_haemolyticus	Yes	GCA_003490655_1	GCA_003490655.1	M26156	no	NA	G_0053
H_haemolyticus_str_M19071_id_GCA_003493965_1	H_haemolyticus_str_M19071_id_GCA_003493965_1	H_haemolyticus	Yes	GCA_003493965_1	GCA_003493965.1	M19071	no	NA	G_0054
H_haemolyticus_str_M26174_id_GCA_003493245_1	H_haemolyticus_str_M26174_id_GCA_003493245_1	H_haemolyticus	Yes	GCA_003493245_1	GCA_003493245.1	M26174	no	NA	G_0055
H_haemolyticus_str_M19155_id_GCA_003490305_1	H_haemolyticus_str_M19155_id_GCA_003490305_1	H_haemolyticus	Yes	GCA_003490305_1	GCA_003490305.1	M19155	no	NA	G_0056
H_haemolyticus_str_M19135_id_GCA_003494195_1	H_haemolyticus_str_M19135_id_GCA_003494195_1	H_haemolyticus	Yes	GCA_003494195_1	GCA_003494195.1	M19135	no	NA	G_0057
H_haemolyticus_str_HI2028_id_GCA_004368395_1	H_haemolyticus_str_HI2028_id_GCA_004368395_1	H_haemolyticus	Yes	GCA_004368395_1	GCA_004368395.1	HI2028	no	NA	G_0058
H_haemolyticus_str_65117_B_Hi_3_id_GCA_006439285_1	H_haemolyticus_str_65117_B_Hi_3_id_GCA_006439285_1	H_haemolyticus	Yes	GCA_006439285_1	GCA_006439285.1	65117_B_Hi_3	no	NA	G_0059
H_haemolyticus_str_M19122_id_GCA_003493365_1	H_haemolyticus_str_M19122_id_GCA_003493365_1	H_haemolyticus	Yes	GCA_003493365_1	GCA_003493365.1	M19122	no	NA	G_0060
H_haemolyticus_str_M19140_id_GCA_003490235_1	H_haemolyticus_str_M19140_id_GCA_003490235_1	H_haemolyticus	Yes	GCA_003490235_1	GCA_003490235.1	M19140	no	NA	G_0061
H_haemolyticus_str_M26166_id_GCA_003492745_1	H_haemolyticus_str_M26166_id_GCA_003492745_1	H_haemolyticus	Yes	GCA_003492745_1	GCA_003492745.1	M26166	no	NA	G_0062
H_haemolyticus_str_M26173_id_GCA_003490485_1	H_haemolyticus_str_M26173_id_GCA_003490485_1	H_haemolyticus	Yes	GCA_003490485_1	GCA_003490485.1	M26173	no	NA	G_0063
H_haemolyticus_str_60982_B_Hi_1_id_GCA_006439215_1	H_haemolyticus_str_60982_B_Hi_1_id_GCA_006439215_1	H_haemolyticus	Yes	GCA_006439215_1	GCA_006439215.1	60982_B_Hi_1	no	NA	G_0064
H_haemolyticus_str_60824_B_Hi_4_id_GCA_006439315_1	H_haemolyticus_str_60824_B_Hi_4_id_GCA_006439315_1	H_haemolyticus	Yes	GCA_006439315_1	GCA_006439315.1	60824_B_Hi_4	no	NA	G_0065
H_haemolyticus_str_CCUG_39154_id_GCA_001679445_1	H_haemolyticus_str_CCUG_39154_id_GCA_001679445_1	H_haemolyticus	Yes	GCA_001679445_1	GCA_001679445.1	CCUG_39154	no	NA	G_0066
H_haemolyticus_str_60819_B_Hi_1_id_GCA_006439245_1	H_haemolyticus_str_60819_B_Hi_1_id_GCA_006439245_1	H_haemolyticus	Yes	GCA_006439245_1	GCA_006439245.1	60819_B_Hi_1	no	NA	G_0067
H_haemolyticus_str_M19197_id_GCA_003492365_1	H_haemolyticus_str_M19197_id_GCA_003492365_1	H_haemolyticus	Yes	GCA_003492365_1	GCA_003492365.1	M19197	no	NA	G_0068
H_haemolyticus_str_M19079_id_GCA_003490595_1	H_haemolyticus_str_M19079_id_GCA_003490595_1	H_haemolyticus	Yes	GCA_003490595_1	GCA_003490595.1	M19079	no	NA	G_0069
H_haemolyticus_str_M19201_id_GCA_003494075_1	H_haemolyticus_str_M19201_id_GCA_003494075_1	H_haemolyticus	Yes	GCA_003494075_1	GCA_003494075.1	M19201	no	NA	G_0070
H_haemolyticus_str_M26161_id_GCA_003493685_1	H_haemolyticus_str_M26161_id_GCA_003493685_1	H_haemolyticus	Yes	GCA_003493685_1	GCA_003493685.1	M26161	no	NA	G_0071
H_haemolyticus_str_CCUG_24149_id_GCA_001679135_1	H_haemolyticus_str_CCUG_24149_id_GCA_001679135_1	H_haemolyticus	Yes	GCA_001679135_1	GCA_001679135.1	CCUG_24149	no	NA	G_0072
H_haemolyticus_str_M19528_id_GCA_003494265_1	H_haemolyticus_str_M19528_id_GCA_003494265_1	H_haemolyticus	Yes	GCA_003494265_1	GCA_003494265.1	M19528	no	NA	G_0073
H_haemolyticus_str_M19187_id_GCA_003493605_1	H_haemolyticus_str_M19187_id_GCA_003493605_1	H_haemolyticus	Yes	GCA_003493605_1	GCA_003493605.1	M19187	no	NA	G_0074
H_haemolyticus_str_Haemophilus_haemolyticus_BgEED18_id_GCA_901873495_1	H_haemolyticus_str_Haemophilus_haemolyticus_BgEED18_id_GCA_901873495_1	H_haemolyticus	Yes	GCA_901873495_1	GCA_901873495.1	Haemophilus_haemolyticus_BgEED18	no	NA	G_0075
H_haemolyticus_str_M19164_id_GCA_003491025_1	H_haemolyticus_str_M19164_id_GCA_003491025_1	H_haemolyticus	Yes	GCA_003491025_1	GCA_003491025.1	M19164	no	NA	G_0076
H_haemolyticus_str_CCUG_15949_id_GCA_006439275_1	H_haemolyticus_str_CCUG_15949_id_GCA_006439275_1	H_haemolyticus	Yes	GCA_006439275_1	GCA_006439275.1	CCUG_15949	no	NA	G_0077
H_haemolyticus_str_M26167_id_GCA_003493125_1	H_haemolyticus_str_M26167_id_GCA_003493125_1	H_haemolyticus	Yes	GCA_003493125_1	GCA_003493125.1	M26167	no	NA	G_0078
H_haemolyticus_str_M26176_id_GCA_003493545_1	H_haemolyticus_str_M26176_id_GCA_003493545_1	H_haemolyticus	Yes	GCA_003493545_1	GCA_003493545.1	M26176	no	NA	G_0079
H_haemolyticus_str_M19161_id_GCA_003494655_1	H_haemolyticus_str_M19161_id_GCA_003494655_1	H_haemolyticus	Yes	GCA_003494655_1	GCA_003494655.1	M19161	no	NA	G_0080
H_haemolyticus_str_11P18_id_GCA_001008205_1	H_haemolyticus_str_11P18_id_GCA_001008205_1	H_haemolyticus	Yes	GCA_001008205_1	GCA_001008205.1	11P18	no	NA	G_0081
H_haemolyticus_str_16_549009_id_GCA_004362455_1	H_haemolyticus_str_16_549009_id_GCA_004362455_1	H_haemolyticus	Yes	GCA_004362455_1	GCA_004362455.1	16_549009	no	NA	G_0082
H_haemolyticus_str_CCUG_30218_id_GCA_006439145_1	H_haemolyticus_str_CCUG_30218_id_GCA_006439145_1	H_haemolyticus	Yes	GCA_006439145_1	GCA_006439145.1	CCUG_30218	no	NA	G_0083
H_haemolyticus_str_CCUG_11096_id_GCA_006439155_1	H_haemolyticus_str_CCUG_11096_id_GCA_006439155_1	H_haemolyticus	Yes	GCA_006439155_1	GCA_006439155.1	CCUG_11096	no	NA	G_0084
H_haemolyticus_str_CCUG30047_id_GCA_013401795_1	H_haemolyticus_str_CCUG30047_id_GCA_013401795_1	H_haemolyticus	Yes	GCA_013401795_1	GCA_013401795.1	CCUG30047	no	NA	G_0085
H_haemolyticus_str_S32F2_id_GCA_013401805_1	H_haemolyticus_str_S32F2_id_GCA_013401805_1	H_haemolyticus	Yes	GCA_013401805_1	GCA_013401805.1	S32F2	no	NA	G_0086
H_haemolyticus_str_1P26_id_GCA_001008215_1	H_haemolyticus_str_1P26_id_GCA_001008215_1	H_haemolyticus	Yes	GCA_001008215_1	GCA_001008215.1	1P26	no	NA	G_0087
H_haemolyticus_str_PN24_id_GCA_006439115_1	H_haemolyticus_str_PN24_id_GCA_006439115_1	H_haemolyticus	Yes	GCA_006439115_1	GCA_006439115.1	PN24	no	NA	G_0088
H_haemolyticus_str_PN24_id_GCA_013401825_1	H_haemolyticus_str_PN24_id_GCA_013401825_1	H_haemolyticus	Yes	GCA_013401825_1	GCA_013401825.1	PN24	no	NA	G_0089
H_haemolyticus_str_27P25_id_GCA_001008275_1	H_haemolyticus_str_27P25_id_GCA_001008275_1	H_haemolyticus	Yes	GCA_001008275_1	GCA_001008275.1	27P25	no	NA	G_0090
H_haemolyticus_str_3P5_id_GCA_001008225_1	H_haemolyticus_str_3P5_id_GCA_001008225_1	H_haemolyticus	Yes	GCA_001008225_1	GCA_001008225.1	3P5	no	NA	G_0091
H_haemolyticus_str_CCUG_31732_id_GCA_006439125_1	H_haemolyticus_str_CCUG_31732_id_GCA_006439125_1	H_haemolyticus	Yes	GCA_006439125_1	GCA_006439125.1	CCUG_31732	no	NA	G_0092
H_haemolyticus_str_NCTC10839_id_GCA_900477945_1	H_haemolyticus_str_NCTC10839_id_GCA_900477945_1	H_haemolyticus	Yes	GCA_900477945_1	GCA_900477945.1	NCTC10839	no	NA	G_0093
H_haemolyticus_str_M19346_id_GCA_003352385_1	H_haemolyticus_str_M19346_id_GCA_003352385_1	H_haemolyticus	Yes	GCA_003352385_1	GCA_003352385.1	M19346	no	NA	G_0094
H_haemolyticus_str_M19345_id_GCA_003351405_1	H_haemolyticus_str_M19345_id_GCA_003351405_1	H_haemolyticus	Yes	GCA_003351405_1	GCA_003351405.1	M19345	no	NA	G_0095
H_haemolyticus_str_2019_19_id_GCA_019973675_1	H_haemolyticus_str_2019_19_id_GCA_019973675_1	H_haemolyticus	Yes	GCA_019973675_1	GCA_019973675.1	2019_19	no	NA	G_0096
H_haemolyticus_str_M28486_id_GCA_003351625_1	H_haemolyticus_str_M28486_id_GCA_003351625_1	H_haemolyticus	Yes	GCA_003351625_1	GCA_003351625.1	M28486	no	NA	G_0097
H_haemolyticus_str_HK386_id_GCA_000262285_1	H_haemolyticus_str_HK386_id_GCA_000262285_1	H_haemolyticus	Yes	GCA_000262285_1	GCA_000262285.1	HK386	yes	HMT_851	G_0098
H_haemolyticus_str_M19107_id_GCA_000222005_2	H_haemolyticus_str_M19107_id_GCA_000222005_2	H_haemolyticus	Yes	GCA_000222005_2	GCA_000222005.2	M19107	yes	HMT_851	G_0099
H_haemolyticus_str_M19501_id_GCA_000222025_2	H_haemolyticus_str_M19501_id_GCA_000222025_2	H_haemolyticus	Yes	GCA_000222025_2	GCA_000222025.2	M19501	yes	HMT_851	G_0100
H_haemolyticus_str_M21127_id_GCA_000222045_2	H_haemolyticus_str_M21127_id_GCA_000222045_2	H_haemolyticus	Yes	GCA_000222045_2	GCA_000222045.2	M21127	yes	HMT_851	G_0101
H_haemolyticus_str_M21621_id_GCA_000222065_2	H_haemolyticus_str_M21621_id_GCA_000222065_2	H_haemolyticus	Yes	GCA_000222065_2	GCA_000222065.2	M21621	yes	HMT_851	G_0102
H_haemolyticus_str_M21639_id_GCA_000222085_2	H_haemolyticus_str_M21639_id_GCA_000222085_2	H_haemolyticus	Yes	GCA_000222085_2	GCA_000222085.2	M21639	yes	HMT_851	G_0103
H_influenzae_str_CCUG_26214_id_GCA_001679235_1	H_influenzae_str_CCUG_26214_id_GCA_001679235_1	H_influenzae	Yes	GCA_001679235_1	GCA_001679235.1	CCUG_26214	no	NA	G_0104
H_influenzae_str_M23174_id_GCA_003493485_1	H_influenzae_str_M23174_id_GCA_003493485_1	H_influenzae	Yes	GCA_003493485_1	GCA_003493485.1	M23174	no	NA	G_0105
H_influenzae_str_M09121_id_GCA_003493645_1	H_influenzae_str_M09121_id_GCA_003493645_1	H_influenzae	Yes	GCA_003493645_1	GCA_003493645.1	M09121	no	NA	G_0106
H_influenzae_str_M23254_id_GCA_003493945_1	H_influenzae_str_M23254_id_GCA_003493945_1	H_influenzae	Yes	GCA_003493945_1	GCA_003493945.1	M23254	no	NA	G_0107
H_influenzae_str_P639_3649_id_GCA_003414165_2	H_influenzae_str_P639_3649_id_GCA_003414165_2	H_influenzae	Yes	GCA_003414165_2	GCA_003414165.2	P639_3649	no	NA	G_0108
H_influenzae_str_M11578_id_GCA_003494745_1	H_influenzae_str_M11578_id_GCA_003494745_1	H_influenzae	Yes	GCA_003494745_1	GCA_003494745.1	M11578	no	NA	G_0109
H_influenzae_str_M06151_id_GCA_003493895_1	H_influenzae_str_M06151_id_GCA_003493895_1	H_influenzae	Yes	GCA_003493895_1	GCA_003493895.1	M06151	no	NA	G_0110
H_influenzae_str_M10489_id_GCA_003494325_1	H_influenzae_str_M10489_id_GCA_003494325_1	H_influenzae	Yes	GCA_003494325_1	GCA_003494325.1	M10489	no	NA	G_0111
H_influenzae_str_2842STDY5882041_id_GCA_900035255_1	H_influenzae_str_2842STDY5882041_id_GCA_900035255_1	H_influenzae	Yes	GCA_900035255_1	GCA_900035255.1	2842STDY5882041	no	NA	G_0112
H_influenzae_str_M21289_id_GCA_003490445_1	H_influenzae_str_M21289_id_GCA_003490445_1	H_influenzae	Yes	GCA_003490445_1	GCA_003490445.1	M21289	no	NA	G_0113
H_influenzae_str_2842STDY5882036_id_GCA_900026975_1	H_influenzae_str_2842STDY5882036_id_GCA_900026975_1	H_influenzae	Yes	GCA_900026975_1	GCA_900026975.1	2842STDY5882036	no	NA	G_0114
H_influenzae_str_8777_19_id_GCA_020073725_1	H_influenzae_str_8777_19_id_GCA_020073725_1	H_influenzae	Yes	GCA_020073725_1	GCA_020073725.1	8777_19	no	NA	G_0115
H_influenzae_str_P611_7680_id_GCA_003414365_1	H_influenzae_str_P611_7680_id_GCA_003414365_1	H_influenzae	Yes	GCA_003414365_1	GCA_003414365.1	P611_7680	no	NA	G_0116
H_influenzae_str_P593_7974_id_GCA_003414335_1	H_influenzae_str_P593_7974_id_GCA_003414335_1	H_influenzae	Yes	GCA_003414335_1	GCA_003414335.1	P593_7974	no	NA	G_0117
H_influenzae_str_PTHi_5962_id_GCA_900408175_1	H_influenzae_str_PTHi_5962_id_GCA_900408175_1	H_influenzae	Yes	GCA_900408175_1	GCA_900408175.1	PTHi_5962	no	NA	G_0118
H_influenzae_str_65234_N_Hi_1_id_GCA_001949825_1	H_influenzae_str_65234_N_Hi_1_id_GCA_001949825_1	H_influenzae	Yes	GCA_001949825_1	GCA_001949825.1	65234_N_Hi_1	no	NA	G_0119
H_influenzae_str_M07067_id_GCA_003490785_1	H_influenzae_str_M07067_id_GCA_003490785_1	H_influenzae	Yes	GCA_003490785_1	GCA_003490785.1	M07067	no	NA	G_0120
H_influenzae_str_M14666_id_GCA_003494725_1	H_influenzae_str_M14666_id_GCA_003494725_1	H_influenzae	Yes	GCA_003494725_1	GCA_003494725.1	M14666	no	NA	G_0121
H_influenzae_str_M07052_id_GCA_003496545_1	H_influenzae_str_M07052_id_GCA_003496545_1	H_influenzae	Yes	GCA_003496545_1	GCA_003496545.1	M07052	no	NA	G_0122
H_influenzae_str_P646_8484_id_GCA_003414105_1	H_influenzae_str_P646_8484_id_GCA_003414105_1	H_influenzae	Yes	GCA_003414105_1	GCA_003414105.1	P646_8484	no	NA	G_0123
H_influenzae_str_P648_8526_id_GCA_003414945_1	H_influenzae_str_P648_8526_id_GCA_003414945_1	H_influenzae	Yes	GCA_003414945_1	GCA_003414945.1	P648_8526	no	NA	G_0124
H_influenzae_str_444_18_id_GCA_020073685_1	H_influenzae_str_444_18_id_GCA_020073685_1	H_influenzae	Yes	GCA_020073685_1	GCA_020073685.1	444_18	no	NA	G_0125
H_influenzae_str_M11955_id_GCA_003493305_1	H_influenzae_str_M11955_id_GCA_003493305_1	H_influenzae	Yes	GCA_003493305_1	GCA_003493305.1	M11955	no	NA	G_0126
H_influenzae_str_PTHi_13278_id_GCA_900407745_1	H_influenzae_str_PTHi_13278_id_GCA_900407745_1	H_influenzae	Yes	GCA_900407745_1	GCA_900407745.1	PTHi_13278	no	NA	G_0127
H_influenzae_str_M12178_id_GCA_003493105_1	H_influenzae_str_M12178_id_GCA_003493105_1	H_influenzae	Yes	GCA_003493105_1	GCA_003493105.1	M12178	no	NA	G_0128
H_influenzae_str_SD2016_2_id_GCA_012103225_1	H_influenzae_str_SD2016_2_id_GCA_012103225_1	H_influenzae	Yes	GCA_012103225_1	GCA_012103225.1	SD2016_2	no	NA	G_0129
H_influenzae_str_M12252_id_GCA_003494345_1	H_influenzae_str_M12252_id_GCA_003494345_1	H_influenzae	Yes	GCA_003494345_1	GCA_003494345.1	M12252	no	NA	G_0130
H_influenzae_str_M10469_id_GCA_003493835_1	H_influenzae_str_M10469_id_GCA_003493835_1	H_influenzae	Yes	GCA_003493835_1	GCA_003493835.1	M10469	no	NA	G_0131
H_influenzae_str_2842STDY5882059_id_GCA_900035525_1	H_influenzae_str_2842STDY5882059_id_GCA_900035525_1	H_influenzae	Yes	GCA_900035525_1	GCA_900035525.1	2842STDY5882059	no	NA	G_0132
